max_depth,model_name,auc_train,auc_test,mean_trace,median_trace,mean_max_eig,median_max_eig,mean_explanation_fit,median_explanation_fit
2,RF - 3 max_depth - 2 trees,0.7574951199219188,0.738028321176061,0.027415693034224732,0.026792267602436085,0.01268383585504616,0.01068915715941008,0.18345923238427142,0.19420349496204709
3,RF - 3 max_depth - 3 trees,0.7755780092481479,0.7555680040333068,0.025297725496511263,0.02417988947825438,0.012199016242331254,0.011895729944927573,0.21597247585968624,0.21207937515645173
5,RF - 3 max_depth - 5 trees,0.8195929134866159,0.7899587466339094,0.022477007736748395,0.023937845313412413,0.008566781760167019,0.008082877423893669,0.22858493317777176,0.2323127639857879
8,RF - 3 max_depth - 8 trees,0.8221931550904815,0.805985539314738,0.02144519599614956,0.021049883324822768,0.00950994034147144,0.009461035818087486,0.25399360648849795,0.2539089712936284
12,RF - 3 max_depth - 12 trees,0.8471853549656796,0.8275781353158423,0.019665118967124147,0.019753881510251932,0.00817946437362745,0.00755876500119086,0.26099026174226453,0.2582962132452142
16,RF - 3 max_depth - 16 trees,0.8530994495911935,0.8261380687342699,0.018625338632036727,0.01826234806129999,0.0071300645080688676,0.007920057022176349,0.27026120625965466,0.2702227344570423
20,RF - 3 max_depth - 20 trees,0.8558440935054963,0.8258675810962753,0.018267854427674875,0.01894739844843804,0.006532443350407563,0.0070306605207220135,0.27391803416806304,0.27267466638748
25,RF - 3 max_depth - 25 trees,0.8580263284212547,0.8287641195747423,0.01856902510698972,0.01879632237639914,0.006640723177100979,0.006426950517765211,0.2784503630802564,0.2791255797947449
30,RF - 3 max_depth - 30 trees,0.8593305492887886,0.8341766732421304,0.018167422171106694,0.01844364196836109,0.007312853318712259,0.007413115835037875,0.27763882141500024,0.276204844630667
35,RF - 3 max_depth - 35 trees,0.8709519352309638,0.8433940596753349,0.017560499678397592,0.0168523641065889,0.006204835270323152,0.006393867146517399,0.28377793886857744,0.282461919527644
40,RF - 3 max_depth - 40 trees,0.8708423334773355,0.8436913559993439,0.0168273951587311,0.016315583119871902,0.0061244542211014875,0.005566208191089888,0.2826344750470636,0.28202526514671705
50,RF - 3 max_depth - 50 trees,0.8704129266068256,0.8423685274028785,0.017096505558522497,0.017010996006487228,0.006061067040976106,0.005706052415965642,0.28410565147244077,0.28389666000362307
60,RF - 3 max_depth - 60 trees,0.8736599785596569,0.8470096311204831,0.017037618359810013,0.017317960342779076,0.0059152343434432444,0.006065500236981431,0.28474009949132,0.282536821041838
70,RF - 3 max_depth - 70 trees,0.8732005712091393,0.848202817712939,0.017073166121009387,0.01716321408606871,0.00601566800130162,0.006420568087422452,0.290248744462504,0.291575097564825
80,RF - 3 max_depth - 80 trees,0.8770416326661227,0.8518904124936479,0.017245965597394754,0.01692436236296758,0.006064509691727922,0.0062527037129465925,0.2893256984099276,0.2901542695622071
90,RF - 3 max_depth - 90 trees,0.8771774348389574,0.8479179254078322,0.017363073287131384,0.016934202184749152,0.006119161888034348,0.00627898674220256,0.29067217363578374,0.2907561288481819
100,RF - 3 max_depth - 100 trees,0.874094185506968,0.8457948375273588,0.0168068363121798,0.01705776002974994,0.005841459041511082,0.005731408017575901,0.29056261321420046,0.28787253207673513
