model_name,auc_train,auc_test,mean_trace,median_trace,mean_max_eig,median_max_eig,mean_explanation_fit,median_explanation_fit
"NN - (100,)",0.9993995903934462,0.9705940724794833,0.11801895825345073,0.11732012459364438,0.025828035484693486,0.025444191174340016,0.12228325238487761,0.11967586685564734
"NN - (100, 100)",1.0,0.9720125320603875,0.13816742096147352,0.13780321247738414,0.03102457213928982,0.031741072757222315,0.1385601788132004,0.13926434709252516
"NN - (100, 100, 100)",1.0,0.9722161980481676,0.14632890028921128,0.14532496197463574,0.0321518997057542,0.032526019403650276,0.14222248955925174,0.14220152910026818
"NN - (100, 100, 100, 100)",1.0,0.9694368975548079,0.14708165089130992,0.14631648937485606,0.033825714891354115,0.03346242861369147,0.14017282374914247,0.13894582968439476
"NN - (100, 100, 100, 100, 100)",0.9972935566969072,0.9625174556556324,0.15088951651611077,0.1503698658845641,0.03500549636832394,0.034102068647143935,0.14649428836385392,0.14697208302602532
"NN - (100, 100, 100, 100, 100, 100)",0.9988015808252932,0.9683033302790104,0.15420103429043747,0.15140710883317468,0.035433395860847025,0.03355885974617085,0.144177075544741,0.14349297593179125
"NN - (100, 100, 100, 100, 100, 100, 100)",0.9957585321365142,0.9641199748718584,0.15661658180577115,0.15537418922931867,0.03676834984312011,0.035975410040798045,0.1478363974349844,0.14781034144792307
"NN - (100, 100, 100, 100, 100, 100, 100, 100)",0.994792716683467,0.9678363789867918,0.15840902182922711,0.16155994690386644,0.03634875838426979,0.03380933513926541,0.14954943292325454,0.14943406203065274
