model_name,auc_train,auc_test,mean_trace,median_trace,mean_max_eig,median_max_eig,mean_explanation_fit,median_explanation_fit
"NN - (50,)",0.9907954527272438,0.9753812235164194,0.12690153720078254,0.130301845810386,0.0315842090141778,0.032103603265860994,0.14927138802237772,0.1520942852082348
"NN - (50, 50)",0.999699195187123,0.971051820789936,0.1319024230575178,0.12989726211828356,0.02955500512111888,0.02939558709123966,0.13157150403838772,0.13241442051720229
"NN - (50, 50, 50)",1.0,0.9664539310736678,0.14455141905816066,0.14212091551365003,0.03309118774218522,0.03333020527628034,0.136892481320048,0.13502521564374637
"NN - (50, 50, 50, 50)",0.9995485927774844,0.966053801431664,0.14267761266735676,0.14313369988408498,0.03408965090974995,0.03435208120480937,0.1331801369336291,0.13201787563701958
"NN - (50, 50, 50, 50, 50)",1.0,0.9620813143458481,0.14631083639737524,0.14488035391018314,0.033379111634248684,0.0310725736711359,0.1332744043228045,0.13173451388421364
"NN - (50, 50, 50, 50, 50, 50)",0.9944091105457687,0.9600610597833699,0.16014692148295295,0.16066985943680098,0.03881955997129185,0.04039220538078695,0.14851368148588415,0.14968303626040286
"NN - (50, 50, 50, 50, 50, 50, 50)",0.9942541080657291,0.9615155310320544,0.15259818694085647,0.15414189253643318,0.039242817734432035,0.035573666948026494,0.14480369835064147,0.14507286202031583
